tên hồ,Qve,Tqx,Qxt,Qxm
Sông Ba Hạ,46.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,28.9,53.3,0.0,53.3
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,0.45,13.2,0.0,13.2
Sông Bung 4,78.0,78.0,0.0,78.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,77.26,105.7,5.7,100.0
Sông Ba Hạ,40.0,0.0,0.0,0.0
Sông Hinh,47.0,47.0,0.0,47.0
A Vương,9.6,34.0,0.0,34.0
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,4.03,13.2,0.0,13.2
Sông Bung 4,78.0,78.0,0.0,78.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,4.91757142857143,0.0,0.0,0.0
Sông Tranh 2,48.93,105.7,5.7,100.0
Sông Ba Hạ,22.0,120.0,0.0,120.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,47.3,47.3,0.0,47.3
Sông Bung 2,13.61,28.56,0.0,28.56
Vĩnh Sơn A,3.0,5.0,0.0,5.0
Sông Bung 4,33.56,77.0,0.0,77.0
Vĩnh Sơn B,6.19780880773362,0.0,0.0,0.0
Vĩnh Sơn C,2.0,0.0,0.0,0.0
Sông Tranh 2,35.19,205.7,5.7,200.0
Sông Ba Hạ,66.0,0.0,0.0,0.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,38.9,63.3,0.0,63.3
Sông Bung 2,8.18,30.6,0.0,30.6
Vĩnh Sơn A,9.77,13.2,0.0,13.2
Sông Bung 4,78.0,78.0,0.0,78.0
Vĩnh Sơn B,0.27,0.0,0.0,0.0
Vĩnh Sơn C,1.8,0.0,0.0,0.0
Sông Tranh 2,35.18,205.7,5.7,200.0
Sông Ba Hạ,65.0,373.0,0.0,373.0
Sông Hinh,54.83,54.83,0.0,54.83
A Vương,40.0,40.0,0.0,40.0
Sông Bung 2,6.14,28.56,0.0,28.56
Vĩnh Sơn A,7.62,13.2,0.0,13.2
Sông Bung 4,34.56,78.0,0.0,78.0
Vĩnh Sơn B,0.27,0.0,0.0,0.0
Vĩnh Sơn C,0.7,0.0,0.0,0.0
Sông Tranh 2,35.17,205.7,5.7,200.0
Sông Ba Hạ,60.0,0.0,0.0,0.0
