tên hồ,Qve,Tqx,Qxt,Qxm
Thác Bà,117.17051509769094,198.8,0,198.8
Bản Chát,16.2,265.1,0,265.1
Huội Quảng,292.7,298.8,0,298.8
Sơn La,272.0,22.0,0,22.0
Hòa Bình,575.0,902.0,0,902.0
Thác Bà,117.17051509769094,278.24,0,278.24
Bản Chát,46.7,261.5,0,261.5
Huội Quảng,225.4,94.9,0,94.9
Sơn La,551.0,607.0,0,607.0
Hòa Bình,463.0,963.0,0,963.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,45.8,233.3,0,233.3
Huội Quảng,268.1,331.0,0,331.0
Sơn La,436.0,0.0,0,0.0
Hòa Bình,40.0,546.0,0,546.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,58.3,206.8,0,206.8
Huội Quảng,265.5,351.2,0,351.2
Sơn La,528.0,0.0,0,0.0
Hòa Bình,1248.0,362.0,0,362.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,34.2,260.7,0,260.7
Huội Quảng,266.0,351.7,0,351.7
Sơn La,521.0,21.0,0,21.0
Hòa Bình,993.0,1060.0,0,1060.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,47.0,257.2,0,257.2
Huội Quảng,273.2,253.2,0,253.2
Sơn La,1358.0,386.0,0,386.0
Hòa Bình,747.0,1071.0,0,1071.0
Thác Bà,117.17051509769094,279.5,0,279.5
Bản Chát,27.5,259.2,0,259.2
Huội Quảng,269.8,354.6,0,354.6
Sơn La,974.0,85.0,0,85.0
Hòa Bình,1243.0,1395.0,0,1395.0
Thác Bà,117.17051509769094,280.3,0,280.3
Bản Chát,24.4,261.4,0,261.4
Huội Quảng,271.1,355.8,0,355.8
Sơn La,1767.0,656.0,0,656.0
Hòa Bình,1512.0,1063.0,0,1063.0
Thác Bà,117.17051509769094,281.44,0,281.44
Bản Chát,26.7,257.9,0,257.9
Huội Quảng,274.5,246.7,0,246.7
Sơn La,1277.0,610.0,0,610.0
Hòa Bình,1022.0,1603.0,0,1603.0
Thác Bà,117.17051509769094,282.93,0,282.93
Bản Chát,74.6,259.2,0,259.2
Huội Quảng,304.5,365.5,0,365.5
Sơn La,306.0,0.0,0,0.0
Hòa Bình,343.0,753.0,0,753.0
Thác Bà,117.17051509769094,280.99,0,280.99
Bản Chát,168.2,254.5,0,254.5
Huội Quảng,269.2,309.5,0,309.5
Sơn La,490.0,46.0,0,46.0
Hòa Bình,665.0,731.0,0,731.0
Thác Bà,117.17051509769094,280.19,0,280.19
Bản Chát,85.8,256.0,0,256.0
Huội Quảng,264.2,326.4,0,326.4
Sơn La,1254.0,1532.0,0,1532.0
Hòa Bình,1408.0,1388.0,0,1388.0
Thác Bà,117.17051509769094,281.21,0,281.21
Bản Chát,47.4,258.0,0,258.0
Huội Quảng,257.6,353.6,0,353.6
Sơn La,456.0,678.0,0,678.0
Hòa Bình,1484.0,1634.0,0,1634.0
Thác Bà,117.17051509769094,282.24,0,282.24
