tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Vĩnh Sơn A,29/10 23:00,775.78,775.0,765.0,47.31,51.2,38.0,13.2,0,0
Sông Bung 4,29/10 23:00,217.5,222.5,205.0,237.0,237.0,75.0,162.0,0,1
Vĩnh Sơn B,29/10 23:00,822.94,826.0,813.6,0.0,0.0,0.0,,0,0
Vĩnh Sơn C,29/10 23:00,980.71,981.0,971.3,17.03,0.0,0.0,,0,0
Sông Tranh 2,29/10 23:00,168.74,175.0,140.0,543.22,287.52,77.52,210.0,0,1
Sông Ba Hạ,29/10 23:00,102.98,105.0,101.0,1026.0,1000.0,600.0,400.0,0,6
Sông Hinh,29/10 23:00,206.26,209.0,196.0,148.98,54.83,0.0,54.83,0,0
A Vương,30/10 23:00,373.22,380.0,340.0,129.17,83.71,5.41,78.3,0,1
Sông Bung 2,30/10 23:00,598.62,605.0,565.0,70.41,57.1,24.46,32.64,0,1
Vĩnh Sơn A,30/10 23:00,775.72,775.0,765.0,47.27,47.27,34.07,13.2,0,0
Sông Bung 4,30/10 23:00,217.5,222.5,205.0,209.0,209.0,47.0,162.0,0,1
Vĩnh Sơn B,30/10 23:00,823.41,826.0,813.6,34.72,0.0,0.0,,0,0
Vĩnh Sơn C,30/10 23:00,980.74,981.0,971.3,12.21,0.0,0.0,,0,0
Sông Tranh 2,30/10 23:00,169.46,175.0,140.0,366.65,289.99,81.99,208.0,0,1
Sông Ba Hạ,30/10 23:00,102.96,105.0,101.0,745.0,700.0,300.0,400.0,0,3
Sông Hinh,30/10 23:00,206.45,209.0,196.0,101.91,54.83,0.0,54.83,0,0
A Vương,31/10 23:00,373.69,380.0,340.0,110.42,42.24,5.54,36.7,0,1
Sông Bung 2,31/10 23:00,598.99,605.0,565.0,64.4,57.75,25.11,32.64,0,1
Vĩnh Sơn A,31/10 23:00,775.68,775.0,765.0,44.65,44.65,31.45,13.2,0,0
Sông Bung 4,31/10 23:00,217.51,222.5,205.0,166.78,207.0,47.0,160.0,0,1
