tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Sê San 3A,15/01 23:00,239.0,239.0,238.5,257.0,257.0,0.0,257.0,0,0
Sê San 4,15/01 23:00,210.91,215.0,210.0,240.0,240.0,0.0,240.0,0,0
Kanak,15/01 23:00,514.23,515.0,485.0,8.25,28.0,0.0,28.0,0,0
An Khê,15/01 23:00,428.38,429.0,427.0,37.39,46.0,4.0,42.0,0,1
Srêpốk 3,15/01 23:00,270.29,272.0,268.0,291.0,206.74,0.74,206.0,2,0
Buôn Kuốp,15/01 23:00,410.06,412.0,409.0,141.0,302.0,0.0,302.0,0,0
Buôn Tua Srah,15/01 23:00,486.43,487.5,465.0,30.0,134.0,0.0,134.0,0,0
Đồng Nai 3,15/01 23:00,588.84,590.0,570.0,73.76,59.2,0.0,59.2,0,0
Đồng Nai 4,15/01 23:00,475.55,476.0,474.0,120.34,63.04,2.5,60.54,0,0
Đơn Dương,15/01 23:00,1042.08,1042.0,1018.0,21.29,28.85,0.0,28.85,0,0
Đại Ninh,15/01 23:00,879.0,880.0,860.0,11.0,55.7,0.7,55.0,0,0
Hàm Thuận,15/01 23:00,601.12,605.0,575.0,19.37,73.01,2.9,70.11,0,0
Đa Mi,15/01 23:00,323.2,325.0,323.0,71.11,0.0,0.0,0.0,0,0
Pleikrông,16/01 23:00,569.98,570.0,537.0,96.0,96.0,0.0,96.0,0,0
Ialy,16/01 23:00,513.63,515.0,490.0,208.0,303.0,0.0,303.0,0,0
Sê San 3,16/01 23:00,304.12,304.5,303.2,313.0,238.0,0.0,238.0,0,0
Sê San 3A,16/01 23:00,238.97,239.0,238.5,246.0,246.0,0.0,246.0,0,0
Sê San 4,16/01 23:00,210.91,215.0,210.0,387.0,240.0,0.0,240.0,0,0
Kanak,16/01 23:00,514.19,515.0,485.0,10.2,28.0,0.0,28.0,0,0
An Khê,16/01 23:00,428.37,429.0,427.0,37.39,46.0,4.0,42.0,0,1
Srêpốk 3,16/01 23:00,270.58,272.0,268.0,272.0,206.75,0.75,206.0,2,0
Buôn Kuốp,16/01 23:00,410.05,412.0,409.0,128.0,302.0,0.0,302.0,0,0
Buôn Tua Srah,16/01 23:00,486.33,487.5,465.0,31.0,172.0,0.0,172.0,0,0
Đồng Nai 3,16/01 23:00,588.77,590.0,570.0,14.56,0.0,0.0,0.0,0,0
Đồng Nai 4,16/01 23:00,475.48,476.0,474.0,12.44,58.28,2.5,55.78,0,0
Đơn Dương,16/01 23:00,1042.05,1042.0,1018.0,21.5,31.68,0.0,31.68,0,0
Đại Ninh,16/01 23:00,878.93,880.0,860.0,13.0,55.7,0.7,55.0,0,0
Hàm Thuận,16/01 23:00,601.04,605.0,575.0,19.74,93.49,2.9,90.59,0,0
Đa Mi,16/01 23:00,323.25,325.0,323.0,91.38,21.94,0.0,21.94,0,0
Pleikrông,17/01 23:00,569.97,570.0,537.0,180.0,78.0,0.0,78.0,0,0
Ialy,17/01 23:00,513.64,515.0,490.0,127.0,300.0,0.0,300.0,0,0
Sê San 3,17/01 23:00,303.9,304.5,303.2,310.0,232.0,0.0,232.0,0,0
Sê San 3A,17/01 23:00,238.93,239.0,238.5,244.0,244.0,0.0,244.0,0,0
Sê San 4,17/01 23:00,210.91,215.0,210.0,240.0,240.0,0.0,240.0,0,0
Kanak,17/01 23:00,514.18,515.0,485.0,8.25,0.0,0.0,0.0,0,0
An Khê,17/01 23:00,428.6,429.0,427.0,4.03,4.0,4.0,0.0,0,1
Srêpốk 3,17/01 23:00,270.83,272.0,268.0,406.0,206.75,0.75,206.0,2,0
Buôn Kuốp,17/01 23:00,410.05,412.0,409.0,114.0,302.0,0.0,302.0,0,0
Buôn Tua Srah,17/01 23:00,486.32,487.5,465.0,19.0,86.0,0.0,86.0,0,0
Đồng Nai 3,17/01 23:00,588.71,590.0,570.0,46.91,177.92,0.0,177.92,0,0
Đồng Nai 4,17/01 23:00,475.47,476.0,474.0,183.68,36.52,2.5,34.02,0,0
Đơn Dương,17/01 23:00,1041.98,1042.0,1018.0,15.97,31.38,0.0,31.38,0,0
Đại Ninh,17/01 23:00,878.86,880.0,860.0,6.0,54.7,0.7,54.0,0,0
Hàm Thuận,17/01 23:00,601.05,605.0,575.0,9.6,2.9,2.9,0.0,0,0
Đa Mi,17/01 23:00,323.07,325.0,323.0,1.67,0.0,0.0,0.0,0,0
Pleikrông,18/01 23:00,569.97,570.0,537.0,60.0,95.0,0.0,95.0,0,5
Ialy,18/01 23:00,513.43,515.0,490.0,143.0,292.0,0.0,292.0,0,0
Sê San 3,18/01 23:00,303.96,304.5,303.2,287.0,206.0,0.0,206.0,0,0
Sê San 3A,18/01 23:00,238.97,239.0,238.5,228.0,282.0,0.0,282.0,0,0
Sê San 4,18/01 23:00,210.96,215.0,210.0,387.0,240.0,0.0,240.0,0,0
Kanak,18/01 23:00,514.19,515.0,485.0,12.9,0.0,0.0,0.0,0,0
An Khê,18/01 23:00,428.79,429.0,427.0,4.08,4.0,4.0,0.0,0,1
Srêpốk 3,18/01 23:00,270.8,272.0,268.0,472.0,318.75,0.75,318.0,2,0
Buôn Kuốp,18/01 23:00,409.48,412.0,409.0,116.0,295.0,0.0,295.0,0,0
Buôn Tua Srah,18/01 23:00,486.27,487.5,465.0,12.0,86.0,0.0,86.0,0,0
Đồng Nai 3,18/01 23:00,588.66,590.0,570.0,45.37,89.04,0.0,89.04,0,0
Đồng Nai 4,18/01 23:00,475.39,476.0,474.0,94.0,2.5,2.5,0.0,0,0
Đơn Dương,18/01 23:00,1041.93,1042.0,1018.0,18.05,28.23,0.0,28.23,0,0
Đại Ninh,18/01 23:00,878.78,880.0,860.0,7.0,54.7,0.7,54.0,0,0
Hàm Thuận,18/01 23:00,600.96,605.0,575.0,19.78,93.53,2.9,90.63,0,0
Đa Mi,18/01 23:00,323.36,325.0,323.0,91.94,0.0,0.0,0.0,0,0
Pleikrông,19/01 23:00,569.98,570.0,537.0,48.0,83.0,0.0,83.0,0,0
Ialy,19/01 23:00,513.34,515.0,490.0,119.0,264.0,0.0,264.0,0,0
Sê San 3,19/01 23:00,303.75,304.5,303.2,268.0,0.0,0.0,0.0,0,0
Sê San 3A,19/01 23:00,238.86,239.0,238.5,0.0,241.0,0.0,241.0,0,0
Sê San 4,19/01 23:00,210.97,215.0,210.0,240.0,240.0,0.0,240.0,0,0
Kanak,19/01 23:00,514.21,515.0,485.0,9.54,28.0,0.0,28.0,0,0
An Khê,19/01 23:00,428.56,429.0,427.0,7.61,4.0,4.0,0.0,0,1
Srêpốk 3,19/01 23:00,270.98,272.0,268.0,185.0,184.75,0.75,184.0,2,0
